cod_mpio;añodeasignación;hogares_mpio;municipio;hogares_subsidio;proporcion_AB;treatment;tasa_subsidio;treatment_dummy;post;did
05001;2019;846522;MEDELLÍN;274;0;0;0;0;0;0
05001;2020;878480;MEDELLÍN;131;0;0;0;0;0;0
05001;2021;908775;MEDELLÍN;635;0;0;1;0;0;0
05001;2022;939966;MEDELLÍN;718;0;0;1;0;0;0
05001;2023;972037;MEDELLÍN;243;0;0;0;0;1;0
05001;2024;1005376;MEDELLÍN;249;0;0;0;0;1;0
05034;2019;13812;ANDES;23;0;0;2;;0;0
05034;2020;14180;ANDES;40;0;0;3;;0;0
05034;2021;14635;ANDES;64;0;0;4;;0;0
05034;2022;15095;ANDES;45;0;0;3;;0;0
05034;2023;15573;ANDES;1;0;0;0;;1;0
05034;2024;15981;ANDES;1;0;0;0;;1;0
05045;2019;39270;APARTADÓ;89;1;0;2;;0;0
05045;2020;40979;APARTADÓ;67;1;0;2;;0;0
05045;2021;42384;APARTADÓ;136;1;0;3;;0;0
05045;2022;43813;APARTADÓ;72;1;0;2;;0;0
05045;2023;45284;APARTADÓ;200;1;0;4;;1;0
05045;2024;46738;APARTADÓ;92;1;0;2;;1;0
05051;2019;8609;ARBOLETES;13;1;0;2;1;0;0
05051;2020;8914;ARBOLETES;15;1;0;2;1;0;0
05051;2021;9216;ARBOLETES;40;1;0;4;1;0;0
05051;2022;9514;ARBOLETES;34;1;0;4;1;0;0
05051;2023;9818;ARBOLETES;7;1;0;1;1;1;0
05051;2024;10054;ARBOLETES;7;1;0;1;1;1;0
05088;2019;179138;BELLO;320;0;0;2;0;0;0
05088;2020;186897;BELLO;301;0;0;2;0;0;0
05088;2021;193372;BELLO;765;0;0;4;0;0;0
05088;2022;200003;BELLO;1046;0;0;5;0;0;0
05088;2023;206811;BELLO;308;0;0;1;0;1;0
05088;2024;213850;BELLO;396;0;0;2;0;1;0
05101;2019;8234;CIUDAD BOLÍVAR;143;1;0;17;1;0;0
05101;2020;8422;CIUDAD BOLÍVAR;64;1;0;8;1;0;0
05101;2021;8706;CIUDAD BOLÍVAR;46;1;0;5;1;0;0
05101;2022;8996;CIUDAD BOLÍVAR;41;1;0;5;1;0;0
05101;2023;9294;CIUDAD BOLÍVAR;20;1;0;2;1;1;0
05101;2024;9566;CIUDAD BOLÍVAR;3;1;0;0;1;1;0
05129;2019;25900;CALDAS;4;0;0;0;0;0;0
05129;2020;26882;CALDAS;10;0;0;0;0;0;0
05129;2021;27774;CALDAS;25;0;0;1;0;0;0
05129;2022;28695;CALDAS;11;0;0;0;0;0;0
05129;2023;29649;CALDAS;4;0;0;0;0;1;0
05129;2024;30594;CALDAS;14;0;0;0;0;1;0
05147;2019;15052;CAREPA;16;1;0;1;1;0;0
05147;2020;15804;CAREPA;48;1;0;3;1;0;0
05147;2021;16350;CAREPA;131;1;0;8;1;0;0
05147;2022;16901;CAREPA;37;1;0;2;1;0;0
05147;2023;17466;CAREPA;10;1;0;1;1;1;0
05147;2024;18004;CAREPA;39;1;0;2;1;1;0
05148;2019;18892;EL CARMEN DE VIBORAL;7;0;0;0;;0;0
05148;2020;19656;EL CARMEN DE VIBORAL;22;0;0;1;;0;0
05148;2021;20304;EL CARMEN DE VIBORAL;12;0;0;1;;0;0
05148;2022;20961;EL CARMEN DE VIBORAL;46;0;0;2;;0;0
05148;2023;21638;EL CARMEN DE VIBORAL;9;0;0;0;;1;0
05148;2024;22252;EL CARMEN DE VIBORAL;74;0;0;3;;1;0
05154;2019;27570;CAUCASIA;63;1;0;2;;0;0
05154;2020;28796;CAUCASIA;36;1;0;1;;0;0
05154;2021;29787;CAUCASIA;14;1;0;0;;0;0
05154;2022;30796;CAUCASIA;10;1;0;0;;0;0
05154;2023;31826;CAUCASIA;35;1;0;1;;1;0
05154;2024;32860;CAUCASIA;26;1;0;1;;1;0
05172;2019;17692;CHIGORODÓ;16;1;0;1;;0;0
05172;2020;18366;CHIGORODÓ;13;1;0;1;;0;0
05172;2021;18996;CHIGORODÓ;51;1;0;3;;0;0
05172;2022;19638;CHIGORODÓ;25;1;0;1;;0;0
05172;2023;20300;CHIGORODÓ;37;1;0;2;;1;0
05172;2024;20959;CHIGORODÓ;92;1;0;4;;1;0
05197;2019;5128;COCORNÁ;2;1;0;0;1;0;0
05197;2020;5133;COCORNÁ;3;1;0;1;1;0;0
05197;2021;5296;COCORNÁ;4;1;0;1;1;0;0
05197;2022;5466;COCORNÁ;1;1;0;0;1;0;0
05197;2023;5641;COCORNÁ;6;1;0;1;1;1;0
05197;2024;5786;COCORNÁ;8;1;0;1;1;1;0
05212;2019;25986;COPACABANA;3;0;0;0;;0;0
05212;2020;27021;COPACABANA;51;0;0;2;;0;0
05212;2021;27929;COPACABANA;48;0;0;2;;0;0
05212;2022;28860;COPACABANA;62;0;0;2;;0;0
05212;2023;29819;COPACABANA;27;0;0;1;;1;0
05212;2024;30766;COPACABANA;33;0;0;1;;1;0
05264;2019;3561;ENTRERRÍOS;16;0;0;4;;0;0
05264;2020;3703;ENTRERRÍOS;12;0;0;3;;0;0
05264;2021;3826;ENTRERRÍOS;5;0;0;1;;0;0
05264;2022;3951;ENTRERRÍOS;5;0;0;1;;0;0
05264;2023;4080;ENTRERRÍOS;9;0;0;2;;1;0
05264;2024;4192;ENTRERRÍOS;2;0;0;0;;1;0
05266;2019;82038;ENVIGADO;14;0;0;0;0;0;0
05266;2020;85651;ENVIGADO;12;0;0;0;0;0;0
05266;2021;88599;ENVIGADO;47;0;0;1;0;0;0
05266;2022;91633;ENVIGADO;38;0;0;0;0;0;0
05266;2023;94757;ENVIGADO;12;0;0;0;0;1;0
05266;2024;97986;ENVIGADO;124;0;0;1;0;1;0
05308;2019;16387;GIRARDOTA;10;0;0;1;;0;0
05308;2020;17031;GIRARDOTA;1;0;0;0;;0;0
05308;2021;17575;GIRARDOTA;8;0;0;0;;0;0
05308;2022;18131;GIRARDOTA;3;0;0;0;;0;0
05308;2023;18710;GIRARDOTA;17;0;0;1;;1;0
05308;2024;19231;GIRARDOTA;6;0;0;0;;1;0
05360;2019;91011;ITAGÜÍ;131;0;0;1;0;0;0
05360;2020;94544;ITAGÜÍ;50;0;0;1;0;0;0
05360;2021;97732;ITAGÜÍ;11;0;0;0;0;0;0
05360;2022;101032;ITAGÜÍ;49;0;0;0;0;0;0
05360;2023;104449;ITAGÜÍ;49;0;0;0;0;1;0
05360;2024;107930;ITAGÜÍ;115;0;0;1;0;1;0
05376;2019;20168;LA CEJA;13;0;0;1;;0;0
05376;2020;20989;LA CEJA;60;0;0;3;;0;0
05376;2021;21697;LA CEJA;87;0;0;4;;0;0
05376;2022;22426;LA CEJA;88;0;0;4;;0;0
